pair;participant;trial;trial_id;story_id;target;correct_target;icon;index;prop;
pair07;p16;4;3;cd3;mountains;1;1;0;0;
pair07;p15;5;10;ed2;sofa;0;1;0;0;
pair07;p16;6;5;cp1;room;0;1;0;0;
pair07;p15;7;16;ep4;painting;1;1;0;0;
pair07;p16;8;2;cd2;attic;0;1;0;0;
pair07;p15;9;11;ed3;tree;0;1;0;0;
pair07;p16;10;14;ep2;chair;0;0;1;1;
pair07;p15;11;7;cp3;laboratory;0;1;0;0;
pair07;p16;12;4;cd4;countryside;1;1;0;0;
pair07;p15;13;9;ed1;stairs;1;1;0;0;
pair07;p16;14;13;ep1;window;1;0;1;1;
pair07;p15;15;8;cp4;city;0;1;1;0;
pair07;p16;16;1;cd1;house;0;1;0;0;
pair08;p17;1;5;cp1;room;1;1;1;0;
pair08;p18;2;10;ed2;sofa;0;1;1;1;
pair08;p17;3;16;ep4;painting;1;0;1;1;
pair08;p18;4;4;cd4;countryside;0;1;0;0;
pair08;p17;5;8;cp4;city;0;0;0;0;
pair08;p18;6;9;ed1;stairs;1;1;1;0;
pair08;p17;7;14;ep2;chair;1;0;1;1;
pair08;p18;8;3;cd3;mountains;1;1;1;0;
pair08;p17;9;6;cp2;basement;1;1;1;0;
pair08;p18;10;12;ed4;carpet;1;1;0;0;
pair08;p17;11;13;ep1;window;1;1;1;0;
pair08;p18;12;2;cd2;attic;0;1;1;0;
pair08;p17;13;7;cp3;laboratory;1;1;0;0;
pair08;p18;14;11;ed3;tree;1;1;0;0;
pair08;p17;15;15;ep3;coathanger;1;0;1;1;
pair08;p18;16;1;cd1;house;0;1;0;0;
pair09;p19;1;6;cp2;basement;1;1;0;0;
pair09;p20;2;13;ep1;window;1;1;1;0;
pair09;p19;3;11;ed3;tree;0;1;0;0;
pair09;p20;4;1;cd1;house;1;1;0;0;
pair09;p19;5;7;cp3;laboratory;1;1;0;0;
pair09;p20;6;12;ed4;carpet;1;1;1;0;
pair09;p19;7;15;ep3;coathanger;1;0;1;1;
pair09;p20;8;2;cd2;attic;1;1;1;0;
pair09;p19;9;5;cp1;room;0;1;0;0;
pair09;p20;10;10;ed2;sofa;0;1;0;0;
pair09;p19;11;16;ep4;painting;1;0;1;0;
pair09;p20;12;3;cd3;mountains;1;1;1;0;
pair09;p19;13;8;cp4;city;0;0;0;0;
pair09;p20;14;14;ep2;chair;1;0;1;1;
pair09;p19;15;9;ed1;stairs;1;1;0;0;
pair09;p20;16;4;cd4;countryside;1;1;1;0;
pair10;p21;1;7;cp3;laboratory;0;1;1;0;
pair10;p22;2;12;ed4;carpet;0;1;0;0;
pair10;p21;3;14;ep2;chair;0;1;0;0;
pair10;p22;4;3;cd3;mountains;0;1;1;0;
pair10;p21;5;5;cp1;room;0;1;1;0;
pair10;p22;6;11;ed3;tree;0;1;0;0;
pair10;p21;7;13;ep1;window;0;1;1;0;
pair10;p22;8;4;cd4;countryside;1;1;0;0;
pair10;p21;9;8;cp4;city;1;1;0;0;
pair10;p22;10;9;ed1;stairs;1;1;1;0;
pair10;p21;11;15;ep3;coathanger;1;1;1;0;
pair10;p22;12;2;cd2;attic;0;1;1;0;
pair10;p21;13;6;cp2;basement;0;1;0;0;
pair10;p22;14;16;ep4;painting;1;0;1;1;
pair10;p21;15;10;ed2;sofa;1;1;0;0;
pair10;p22;16;1;cd1;house;0;0;0;0;
pair11;p21;1;8;cp4;city;0;0;0;0;
pair11;p22;2;15;ep3;coathanger;1;0;1;1;
pair11;p23;3;9;ed1;stairs;1;1;0;0;
pair11;p24;4;2;cd2;attic;0;1;1;0;
pair11;p23;5;6;cp2;basement;1;1;0;0;
pair11;p24;6;10;ed2;sofa;0;1;1;1;
pair11;p23;7;16;ep4;painting;1;1;1;1;
pair11;p24;8;1;cd1;house;0;1;1;0;
pair11;p23;9;7;cp3;laboratory;0;1;0;0;
pair11;p24;10;11;ed3;tree;1;0;1;0;
pair11;p23;11;13;ep1;window;1;1;1;1;
pair11;p24;12;4;cd4;countryside;1;0;1;0;
pair11;p23;13;5;cp1;room;0;0;0;0;
pair11;p24;14;14;ep2;chair;1;0;1;1;
pair11;p23;15;12;ed4;carpet;0;1;0;0;
pair11;p24;16;3;cd3;mountains;1;1;0;0;
pair12;p25;1;1;cd1;house;0;1;1;0;
pair12;p26;2;7;cp3;laboratory;0;1;0;0;
pair12;p25;3;14;ep2;chair;1;0;1;1;
pair12;p26;4;12;ed4;carpet;0;1;0;0;
pair12;p25;5;4;cd4;countryside;0;1;0;0;
pair12;p26;6;5;cp1;room;0;0;0;0;
pair12;p25;7;15;ep3;coathanger;1;0;1;1;
pair12;p26;8;9;ed1;stairs;1;1;0;0;
pair12;p25;9;2;cd2;attic;0;1;0;0;
pair12;p26;10;8;cp4;city;0;0;0;0;
pair12;p25;11;13;ep1;window;1;1;1;0;
pair12;p26;12;11;ed3;tree;0;1;0;0;
pair12;p25;13;3;cd3;mountains;0;1;0;0;
pair12;p26;14;6;cp2;basement;1;1;0;0;
pair12;p25;15;16;ep4;painting;1;0;1;1;
pair12;p26;16;10;ed2;sofa;0;0;1;1;
pair13;p27;1;2;cd2;attic;0;1;1;0;
pair13;p28;2;16;ep4;painting;0;1;0;0;
pair13;p27;3;8;cp4;city;0;1;1;0;
pair13;p28;4;11;ed3;tree;0;1;0;0;
pair13;p27;5;1;cd1;house;0;1;0;0;
pair13;p28;6;6;cp2;basement;0;1;1;0;
pair13;p27;7;13;ep1;window;1;1;1;0;
pair13;p28;8;12;ed4;carpet;1;1;0;0;
pair13;p27;9;3;cd3;mountains;1;1;1;0;
pair13;p28;10;7;cp3;laboratory;0;1;0;0;
pair13;p27;11;14;ep2;chair;1;1;0;0;
pair13;p28;12;9;ed1;stairs;0;1;0;0;
pair13;p27;13;4;cd4;countryside;0;1;0;0;
pair13;p28;14;5;cp1;room;0;1;0;0;
pair13;p27;15;15;ep3;coathanger;0;1;0;0;
pair13;p28;16;10;ed2;sofa;1;1;0;0;
pair14;p29;1;3;cd3;mountains;1;1;0;0;
pair14;p30;2;13;ep1;window;1;1;0;0;
pair14;p29;3;10;ed2;sofa;1;1;0;0;
pair14;p30;4;5;cp1;room;0;0;0;0;
pair14;p29;5;2;cd2;attic;0;0;0;0;
pair14;p30;6;15;ep3;coathanger;1;0;1;1;
pair14;p29;7;8;cp4;city;1;0;0;0;
pair14;p30;8;12;ed4;carpet;0;1;0;0;
